No,Hotel,Komentar Asli,Hasil Preprocessing,Label
1,Hotel Dayang Resort Singkawang,fasilitas oke harga gak oke 1 kelapa aja 25k 😭😭😭😭,fasilitas oke harga tidak oke kelapa,Negatif
2,Hotel Dayang Resort Singkawang,ini lokasi yg depan rindam 12 tanjung pura bukan bang,lokasi depan rindam tanjung pura,Netral
3,Hotel Dayang Resort Singkawang,aku pernah kesituuuu,pernah situ,Positif
4,Hotel Dayang Resort Singkawang,Tinggal di Singkawang belum pernah ke Dayang Resort oh indab Pemandangan nya.,tinggal singkawang belum dayang resort indah pemandangan,Negatif
5,Hotel Dayang Resort Singkawang,saya pernah nginap di villa sayang resort,pernah nginap villa sayang resort,Positif
6,Hotel Dayang Resort Singkawang,spill harga masuk+nginap,spill harga masuk nginap,Netral
7,Hotel Dayang Resort Singkawang,udah trauma gw naik perosotan malah bikin sakit 😭,trauma naik perosotan sakit,Negatif
8,Hotel Dayang Resort Singkawang,udh prnh ksna,pernah sana,Positif
9,Hotel Dayang Resort Singkawang,itu kolamnya bisa mandi atau ngak 😂?,kolam mandi,Netral
10,Hotel Dayang Resort Singkawang,dulu aku gak berani naik perosotan besar itu,tidak berani naik perosotan besar,Negatif
11,Hotel Dayang Resort Singkawang,aku udah pernah,pernah,Positif
12,Hotel Dayang Resort Singkawang,aku perna kesana tapi sekarang aku di bandung,pernah sana sekarang bandung,Positif
13,Hotel Dayang Resort Singkawang,kotanya mana,kota,Netral
14,Hotel Dayang Resort Singkawang,adem,klu Dari karangan berapa jm boss,adem karangan jam,Netral
15,Hotel Dayang Resort Singkawang,UGD yang tidak akan Go,ugd go,Netral
16,Hotel Dayang Resort Singkawang,spill harga,spill harga,Netral
17,Hotel Dayang Resort Singkawang,tau bang aku udah pernah kesitu,tahu pernah situ,Positif
18,Hotel Dayang Resort Singkawang,beh gue pernah ke sana dan puass banget dengan pemandangan nya 😌,pernah sana puas pemandangan,Positif
19,Hotel Dayang Resort Singkawang,pernah kesitu ama guru,pernah situ guru,Positif
20,Hotel Dayang Resort Singkawang,kami pernah ke situ bangg,pernah situ,Positif
21,Hotel Dayang Resort Singkawang,pokokk nyee banyakk sklii kenangan nyee disituuu,banyak kenangan situ,Positif
22,Hotel Dayang Resort Singkawang,plis gue dulu pernah di situ waktu study tuor,pernah situ study tour,Positif
23,Hotel Dayang Resort Singkawang,MAHALLL...,mahal,Negatif
24,Hotel Dayang Resort Singkawang,kerennn bg👍,keren,Positif
25,Hotel Dayang Resort Singkawang,yang paling asik itu kolam arus nya,asik kolam arus,Positif
26,Hotel Dayang Resort Singkawang,gua pernah ke sana,pernah sana,Positif
27,Hotel Dayang Resort Singkawang,aku pernah nginap di situ seruu,pernah nginap situ seru,Positif
28,Hotel Dayang Resort Singkawang,mantap tu,mantap,Positif
29,Hotel Dayang Resort Singkawang,Lumayann pas aku 500k semalem😌,lumayan ribu semalam,Netral
30,Hotel Dayang Resort Singkawang,anjai gw pernah situ,pernah situ,Positif
31,Hotel Dayang Resort Singkawang,lah sering ke situ😭😭,sering situ,Positif
32,Hotel Dayang Resort Singkawang,mantap bang,mantap,Positif
33,Hotel Dayang Resort Singkawang,Yesterday I wanted to go there but I didn't 🥲🥲,yesterday wanted go,Netral
34,Hotel Dayang Resort Singkawang,udhh kesituuu,situ,Positif
35,Hotel Dayang Resort Singkawang,opening ny rada serem yaa,opening rada serem,Negatif
36,Hotel Dayang Resort Singkawang,gua dah kesitu beramai,situ ramai,Positif
37,Hotel Dayang Resort Singkawang,aku udah biasa ke situ tadi aja aku kesitu,biasa situ tadi situ,Positif
38,Hotel Dayang Resort Singkawang,Aku pernah ke sana seru banget,pernah sana seru,Positif
39,Hotel Dayang Resort Singkawang,gua pernah di situ bang,pernah situ,Positif
40,Hotel Dayang Resort Singkawang,tempatnya oke cuma bawa makanan dri luar ndak boleh soalnya posisi ada yg makan vegetarian bawa bekal ndak boleh masuk,tempat oke bawa makanan luar tidak boleh vegetarian bawa bekal tidak boleh masuk,Negatif
41,Hotel Dayang Resort Singkawang,gua pernah dapet temen trial disitu,pernah teman trial situ,Positif
42,Hotel Dayang Resort Singkawang,aku disana nyimpen duit 5 ribu di bagian tempat untuk nyimpen baju atau tas,sana simpan uang ribu bagian simpan baju tas,Netral
43,Hotel Dayang Resort Singkawang,saye dh pernah kesitu,asli seru,apalagi kolam yang ngelilingi taman beuhh,pernah situ seru kolam mengelilingi taman,Positif
44,Hotel Dayang Resort Singkawang,udh pernah kasana bg,pernah sana,Positif
45,Hotel Dayang Resort Singkawang,aku pernah kesana seru bgt,pernah sana seru,Positif
46,Hotel Dayang Resort Singkawang,udh pernah ke situ seru banget👍,pernah situ seru,Positif
47,Hotel Dayang Resort Singkawang,break fast nya enak² banget 1 Minggu ful nginap di situ wkt masih blm ada dedek bayi semoga tahun DPN ada rejeki biar bisa ber 4 ke sana amkn,sarapan enak minggu nginap situ belum dedek bayi semoga tahun rezeki empat sana,Positif
48,Hotel Dayang Resort Singkawang,udah ke sekian x..😁,sekian,Positif
49,Hotel Dayang Resort Singkawang,aku udah ada ke situ,situ,Positif
50,Hotel Dayang Resort Singkawang,waktu itu kecewa bnget ga ikut berenang karna lgi haid😭,kecewa tidak ikut berenang haid,Negatif
51,Hotel Dayang Resort Singkawang,kak itu di daerah kuu pasti itu di daerah pasir panjang,daerah pasir panjang,Positif
52,Hotel Dayang Resort Singkawang,Udah pernah sepiiii di kamar banyak nyamuknya,pernah sepi kamar banyak nyamuk,Negatif
53,Hotel Dayang Resort Singkawang,bgus bgt... pengen ke situ asyik kyknya,,,bagus pengen situ asyik,Positif
54,Hotel Dayang Resort Singkawang,IYA JIRR SERU BANGETT PLISS DISITUU😘✌,seru situ,Positif
55,Hotel Dayang Resort Singkawang,udah aku kesitu,situ,Positif
56,Hotel Dayang Resort Singkawang,gw pernah kesitu,pernah situ,Positif
57,Hotel Dayang Resort Singkawang,udah pernah kesitu,pernah situ,Positif
58,Hotel Dayang Resort Singkawang,𝚍𝚒 𝚖𝚊𝚗𝚊 𝚜𝚒𝚒𝚒 𝚔𝚘𝚔 𝚊𝚔𝚞 𝚐𝚊 𝚗𝚎𝚖𝚞𝚞,mana tidak nemu,Netral
59,Hotel Dayang Resort Singkawang,pernah di situ,pernah situ,Positif
60,Hotel Dayang Resort Singkawang,kame pernah sana cuman dah balek,pernah sana balik,Positif
