No,Hotel,Komentar Asli,Hasil Preprocessing,Label
1,Hotel Horison Ultima Singkawang,Lebih kyk vila ya ce?,vila,Netral
2,Hotel Horison Ultima Singkawang,soto ayam nya saya yg buat waktu masih kerja di hotel horison Singkawang 😂,soto ayam buat kerja hotel horison singkawang,Positif
3,Hotel Horison Ultima Singkawang,pantai ape tuu cii,pantai,Netral
4,Hotel Horison Ultima Singkawang,pernaa kesini🤭💗💗,pernah sini,Positif
5,Hotel Horison Ultima Singkawang,lah di detik 00.28 kakel gw lagi magang itu😂,detik kakel magang,Positif
6,Hotel Horison Ultima Singkawang,horison seruu Cece,ak pernah nginapp di situuu,horison seru pernah nginap situ,Positif
7,Hotel Horison Ultima Singkawang,spill harga ceeee,spill harga,Netral
8,Hotel Horison Ultima Singkawang,sekilas mirip ci Shani 🗿,mirip shani,Netral
9,Hotel Horison Ultima Singkawang,pertama ni ce,pertama,Netral
10,Hotel Horison Ultima Singkawang,pantai gratis kah ci,pantai gratis,Netral
11,Hotel Horison Ultima Singkawang,aku pernah ke situ,pernah situ,Positif
12,Hotel Horison Ultima Singkawang,back semua ayokk on tiap hari🔥🔥,back,Netral
13,Hotel Horison Ultima Singkawang,pantai geratis 🤩🤩,pantai gratis,Positif
14,Hotel Horison Ultima Singkawang,mukanya old money banget kak,muka old money,Positif
15,Hotel Horison Ultima Singkawang,duku gw pernah kesituu,pernah situ,Positif
16,Hotel Horison Ultima Singkawang,aku pernah kesanaaa 😋,pernah sana,Positif
17,Hotel Horison Ultima Singkawang,kamar Nye yg tipe ape ci?kalau boleh tau,kamar tipe,Netral
18,Hotel Horison Ultima Singkawang,udh pernah..cakep enak,pernah cakep enak,Positif
19,Hotel Horison Ultima Singkawang,mantap,mantap,Positif
20,Hotel Horison Ultima Singkawang,salam selamat pagi teman sy kira di bali🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,salam pagi kira bali,Positif
21,Hotel Horison Ultima Singkawang,di harga brp cc,harga berapa,Netral
22,Hotel Horison Ultima Singkawang,ini kota aku,kota,Positif
23,Hotel Horison Ultima Singkawang,kalimantan,kalimantan,Positif
24,Hotel Horison Ultima Singkawang,Love cici 😍,love cici,Positif
25,Hotel Horison Ultima Singkawang,Cece udah nikah?,cece nikah,Netral
26,Hotel Horison Ultima Singkawang,mantap ce,mantap,Positif
27,Hotel Horison Ultima Singkawang,kk aku tinggal di singkawang loh😭😭,tinggal singkawang,Positif
28,Hotel Horison Ultima Singkawang,kak aku pernah kesitu loh kak ke pantai Singkawang sayang nya aku cepat mudik soalnya mau sekolah 😿😃😀,pernah situ pantai singkawang cepat mudik sekolah,Positif
29,Hotel Horison Ultima Singkawang,Cobe ke Kahyangan,coba kahyangan,Positif
30,Hotel Horison Ultima Singkawang,vibes nya ramah sekali kamu cee cantik dan rmah 😭♥,vibes ramah cantik ramah,Positif
31,Hotel Horison Ultima Singkawang,ak jga prnah nginap di situ seru bgt dan cntik bgtttt,pernah nginap situ seru cantik,Positif
32,Hotel Horison Ultima Singkawang,aku sering nginep situu ci,sering nginap situ,Positif
33,Hotel Horison Ultima Singkawang,pernah kesana yang dekat pantai kan di sebelah kalo gak salah,pernah sana dekat pantai sebelah,Positif
34,Hotel Horison Ultima Singkawang,pas di lorong kek di bali ya kak,lorong bali,Positif
35,Hotel Horison Ultima Singkawang,iyaa..bagusss sekali😁🤣🤣,bagus,Positif
36,Hotel Horison Ultima Singkawang,tempat tinggal ajuuu,tempat tinggal,Positif
37,Hotel Horison Ultima Singkawang,selamat malam kk,selamat malam,Netral
38,Hotel Horison Ultima Singkawang,waw lokasi nya di daerah mana ya adok,lokasi daerah,Netral
39,Hotel Horison Ultima Singkawang,vibesnya keren cek🥰🥰,vibes keren,Positif
40,Hotel Horison Ultima Singkawang,gw pernah nginap di situ ciii,pernah nginap situ,Positif
41,Hotel Horison Ultima Singkawang,Seru banget,seru,Positif
42,Hotel Horison Ultima Singkawang,cakep banget,cakep,Positif
43,Hotel Horison Ultima Singkawang,hotel horison emang cakep bgt😭 jadi gamau pulang😭😭😭😭,hotel horison cakep tidak mau pulang,Positif
44,Hotel Horison Ultima Singkawang,udah pernah view-nya kedanau Toba kk ?🥰,pernah view danau toba,Positif
45,Hotel Horison Ultima Singkawang,ak pernah ke situu lhoo,pernah situ,Positif
46,Hotel Horison Ultima Singkawang,Kak aku ke situ 5 kali,lima situ,Positif
47,Hotel Horison Ultima Singkawang,Djavu inget pas sama mantan cuami 🙈,dejavu ingat mantan,Netral
48,Hotel Horison Ultima Singkawang,itu bunga pisang,cantik,bunga pisang cantik,Positif
49,Hotel Horison Ultima Singkawang,itu d sebelah room nya ada tangga menuju rooftopnya ci ...kebetulan aku sdh pernah nginap d horison Singkawang,sebelah room tangga rooftop pernah nginap horison singkawang,Positif
50,Hotel Horison Ultima Singkawang,aku pernah kesinii tempat bagus,pernah sini tempat bagus,Positif
51,Hotel Horison Ultima Singkawang,mewah pokok nya ce😊,mewah,Positif
52,Hotel Horison Ultima Singkawang,hehehe pernah kesana,pernah sana,Positif
53,Hotel Horison Ultima Singkawang,aku udh pernah datang ke sini emg estetik banget hotelnya💗💗,pernah datang sini estetik hotel,Positif
54,Hotel Horison Ultima Singkawang,udh 2 kali nginap disitu,dua nginap situ,Positif
55,Hotel Horison Ultima Singkawang,itu namax pisang Hias mba,nama pisang hias,Netral
56,Hotel Horison Ultima Singkawang,tempat aku magang waktu itu di sana,tempat magang sana,Positif
57,Hotel Horison Ultima Singkawang,satu harga 1jt kak aku pernah ke situ 2kali😭,harga juta pernah situ dua,Netral
58,Hotel Horison Ultima Singkawang,aku tingal di singkawang,tinggal singkawang,Positif
59,Hotel Horison Ultima Singkawang,selamat pagi dek,selamat pagi,Netral
60,Hotel Horison Ultima Singkawang,aku pernah ke situ ce,pernah situ,Positif
61,Hotel Horison Ultima Singkawang,Kenalkan yg punya tmpt nya ci 🙏,kenalkan punya tempat,Positif
62,Hotel Horison Ultima Singkawang,Cece soft spoken sekaliiii,cece soft spoken,Positif
63,Hotel Horison Ultima Singkawang,kk lu di omongin Kaka kaka dua itu😭,omongin kaka,Netral
64,Hotel Horison Ultima Singkawang,udah mau menyusul Bali kok Singkawang pinter banget ya SDM nya 🥺,menyusul bali singkawang pinter sdm,Positif
65,Hotel Horison Ultima Singkawang,AKU PERNAH KESANAAAAA CANTIK BANGETTT SUKAKKK🤭,pernah sana cantik suka,Positif
66,Hotel Horison Ultima Singkawang,huhu tiap ke pantai gratis pasti lewat sini trs kepengen nginap cmn mslh ny bawa keluarga besar😞yg nanggung bayar penginapan dll emak ku semua jdi kg mampu😭,tiap pantai gratis lewat sini pengen nginap bawa keluarga besar tanggung bayar penginapan emak tidak mampu,Negatif
67,Hotel Horison Ultima Singkawang,saya juga udh pernah ginap disana juga udh pernah makan disana bgs sich menurut saya cc jgn lupa ke hotel Novotel juga bagus bgt soalnya saya juga udh pernah,pernah nginap sana makan bagus hotel novotel bagus,Positif
68,Hotel Horison Ultima Singkawang,serius nanya ini hotel Horison Singkawang yg deket sm pantai gratis itu gak sih perasaan dr luar itu kecil lho kok begitu di review kok kek luas ya,serius nanya hotel horison singkawang dekat pantai gratis perasaan luar kecil review luas,Netral
69,Hotel Horison Ultima Singkawang,Tmn nya yg jual onlen Niefashion bukan si 🤣,teman jual online niefashion,Netral
70,Hotel Horison Ultima Singkawang,pernah ke situ tapi cuma jalan² doang sama main pasir berujung kabur ama temen gara² ada cacing di pasir gak tau nongol dari mana😭😭,pernah situ jalan main pasir kabur teman cacing pasir,Negatif
71,Hotel Horison Ultima Singkawang,horison ke tu ce,horison,Positif
72,Hotel Horison Ultima Singkawang,bener kalo kangen Bali tapi low budget ke Horison aja tinggal pake motor cuma pantainya aja si tidak seindah Bali but not bad🥰,benar kangen bali low budget horison motor pantai tidak indah bali not bad,Positif
73,Hotel Horison Ultima Singkawang,lh pantai gratis ituuuuu,pantai gratis,Positif
74,Hotel Horison Ultima Singkawang,mending horison atau kahyangan Singkawang siiiii🙂,horison kahyangan singkawang,Netral
75,Hotel Horison Ultima Singkawang,Ini kakak yg jadi MC di acara mooncake di pekong tengah pasar singkawang itu ya,kakak mc acara mooncake pekong tengah pasar singkawang,Positif
76,Hotel Horison Ultima Singkawang,pernah nginap disitu juga aku ce,emang secantik itu🥰tapi khayangan juga ga kalah cantik,pernah nginap situ cantik khayangan cantik,Positif
77,Hotel Horison Ultima Singkawang,cantik banget cece ini,cantik,Positif
78,Hotel Horison Ultima Singkawang,udh pernah ke sana mang bgus tempat nya,pernah sana bagus tempat,Positif
79,Hotel Horison Ultima Singkawang,aku pernah kesana bagus banget kolam depan nya langsung pantai,pernah sana bagus kolam depan pantai,Positif
80,Hotel Horison Ultima Singkawang,wahh ngai dh 2x kli ce ksitu mmg dari tmpt,pelayanan ny mantap ...dn ada pantai ny🥰🥰,dua situ tempat pelayanan mantap pantai,Positif
81,Hotel Horison Ultima Singkawang,lebih cakep murayahill kata aku ya,lebih cakep murayahill,Positif
82,Hotel Horison Ultima Singkawang,ka melawi ka plisss ka ke melawi,melawi,Netral
83,Hotel Horison Ultima Singkawang,Hotel Horison The Best mirip hotel di bali bali gitu pokoknya The Best😎,hotel horison best mirip hotel bali best,Positif
84,Hotel Horison Ultima Singkawang,ci itu owner niefanshion27 kan,owner niefanshion,Positif
85,Hotel Horison Ultima Singkawang,yang pernah ke horison kumpul👇,horison kumpul,Positif
86,Hotel Horison Ultima Singkawang,disitu mandik dibkolam besar 1orang 100rp cok,situ mandi kolam besar orang,Netral
87,Hotel Horison Ultima Singkawang,kalian sadar gak sih tahun ini belum makan rambutan😭,sadar tahun belum makan rambutan,Netral
88,Hotel Horison Ultima Singkawang,ramah banget 🥰 angkat aku jadi anakmu Tante 🗿,ramah angkat anak,Positif
89,Hotel Horison Ultima Singkawang,penuh Terus klw aku ke Singkawang. pingin nginapnd situ. tetapi Penuh Trss. sueee,penuh singkawang pengen nginap situ penuh,Negatif
90,Hotel Horison Ultima Singkawang,Brp lama di skw ci,berapa lama singkawang,Netral
91,Hotel Horison Ultima Singkawang,Itu kamar apa villanya kah,kamar villa,Netral
92,Hotel Horison Ultima Singkawang,itu tipe kamar apa KK?,tipe kamar,Netral
93,Hotel Horison Ultima Singkawang,aku pernah kesitu pasti nama hotel nya hotel horison,pernah situ nama hotel horison,Positif
94,Hotel Horison Ultima Singkawang,ada no admin gk,nomor admin,Netral
95,Hotel Horison Ultima Singkawang,Ihhh emang apalagi sore,pegawai nya juga ramah bangett kalo sore aku suka ke pantai terus mandi 😭😭,pegawai ramah sore suka pantai mandi,Positif
96,Hotel Horison Ultima Singkawang,Apa nama pantainya ce?,nama pantai,Netral
97,Hotel Horison Ultima Singkawang,assalamuaikum💘💘💘💘💘💘💘💘💘🇮🇩,assalamualaikum,Netral
98,Hotel Horison Ultima Singkawang,cantik,cantik,Positif
99,Hotel Horison Ultima Singkawang,Tanaman.,tanaman,Netral
100,Hotel Horison Ultima Singkawang,Selamat malam 🙏🙏,selamat malam,Netral
101,Hotel Horison Ultima Singkawang,tuh daerah sy..,daerah,Positif
102,Hotel Horison Ultima Singkawang,hai KK erna,hai erna,Netral
103,Hotel Horison Ultima Singkawang,berapa hrg ny ce,berapa harga,Netral
104,Hotel Horison Ultima Singkawang,tahun depan otw Singkawang,tahun otw singkawang,Positif
105,Hotel Horison Ultima Singkawang,i:pantai ape tuu cii,pantai,Netral
106,Hotel Horison Ultima Singkawang,saya pernah ke singkawang sama ke pantai,pernah singkawang pantai,Positif
107,Hotel Horison Ultima Singkawang,WAAAA PEMANDANGANNYAAAA,pemandangan,Positif
108,Hotel Horison Ultima Singkawang,dimana tu?,mana,Netral
109,Hotel Horison Ultima Singkawang,aa mahal banget tapi emang bagus banget si hotelnya,mahal bagus hotel,Negatif
110,Hotel Horison Ultima Singkawang,MasyaAllah... kapan bisa kesana... udh hampir 8 tahun dak pernah ke singkawang lagi semenjak selesai kuliah [flushed]semoga nnti bisa pergi bersama anak & suami... aamiin... 🤲,masyaallah kapan sana delapan tahun tidak singkawang selesai kuliah semoga pergi anak suami aamiin,Positif
111,Hotel Horison Ultima Singkawang,harga nya berapa permlam,harga berapa per malam,Netral
112,Hotel Horison Ultima Singkawang,ini yg dekat pantai gratisby,dekat pantai gratis,Positif
113,Hotel Horison Ultima Singkawang,sarapannya gak enak,sarapan tidak enak,Negatif
114,Hotel Horison Ultima Singkawang,kiri nya pantai gratis dan kanan nya pantai sarjir.....,kiri pantai gratis kanan pantai sarjir,Positif
115,Hotel Horison Ultima Singkawang,spil harga,spill harga,Netral
116,Hotel Horison Ultima Singkawang,Kren banget g ada jetsky nya juga kah ka,kstu,kren tidak jetsky,Negatif
117,Hotel Horison Ultima Singkawang,Seru indah sekali Hanimun di hotel horizon,seru indah hotel horizon,Positif
118,Hotel Horison Ultima Singkawang,pantai gratis klw gx salah ya tahun krmn udah kesini😅,pantai gratis tahun kemarin sini,Positif
119,Hotel Horison Ultima Singkawang,udh 2 tahun gak punya teman akrab.... gmna mau liburan🥺,dua tahun tidak teman akrab liburan,Negatif
120,Hotel Horison Ultima Singkawang,alhamduliallah sy ud sampei dan nginap di horizon hotel.kereen dan makanan nya enak jg klw ada rejeki mau nginap lg bersama keluarga,alhamdulillah sampai nginap horizon hotel keren makanan enak rezeki nginap keluarga,Positif
121,Hotel Horison Ultima Singkawang,harga kamar hotel horison Singkawang,harga kamar hotel horison singkawang,Netral
122,Hotel Horison Ultima Singkawang,mantap bikin buang stres enak dn bagus bnget❤️❤️👍,mantap buang stres enak bagus,Positif
123,Hotel Horison Ultima Singkawang,Breakfastnya enak bgt smuah masakannya viewnya enak jg,,pas kmrin kesana hotelnya kena hrga 2 jetong,sarapan enak masakan view enak kemarin sana hotel harga jetong,Positif
124,Hotel Horison Ultima Singkawang,maksimal berapa orang kak per villa,maksimal orang villa,Netral
125,Hotel Horison Ultima Singkawang,pantai gratis bukan shie,pantai gratis,Positif
126,Hotel Horison Ultima Singkawang,Punya bos kamek ni😁,punya bos,Positif
127,Hotel Horison Ultima Singkawang,bisa bawa selingkuhan juga gx ya🤔🤔🤔,bisa bawa selingkuhan,Netral
128,Hotel Horison Ultima Singkawang,Aku kmrin ke situ permlm nya 1,8,kemarin situ per malam,Netral
129,Hotel Horison Ultima Singkawang,Siap brgkat tiggal ada kawanya aja,siap berangkat tinggal kawan,Positif
130,Hotel Horison Ultima Singkawang,wahhh boleh coba nih,boleh coba,Positif
131,Hotel Horison Ultima Singkawang,di pantai gratis tu,pantai gratis,Positif
132,Hotel Horison Ultima Singkawang,kak ini ada kolam renang untuk anak2 gag?,kolam renang anak,Netral
133,Hotel Horison Ultima Singkawang,ini kayaknya Pantai gratis,pantai gratis,Positif
134,Hotel Horison Ultima Singkawang,bagus tapi pantainya butek mending nginap di hotel randayan,bagus pantai butek nginap hotel randayan,Negatif
135,Hotel Horison Ultima Singkawang,beneerrr bangett beberapa bulan lalu ad singgah kesini🥰,benar beberapa bulan singgah sini,Positif
136,Hotel Horison Ultima Singkawang,Kalo ke sini aja gak sewa kamar bisa gak ya,sini tidak sewa kamar,Netral
137,Hotel Horison Ultima Singkawang,KK seriusan dri ptk ke skw 3jam? kamek yg dri mpw Jak 3jam an juga sampai ke skw😭 yg bawa kendaraan pelotar ke KK?🙏🏻,serius pontianak singkawang jam mempawah jam singkawang bawa kendaraan pelotar,Netral
138,Hotel Horison Ultima Singkawang,bagus juga ya👍👍👍👍 kren kren kapan2 aku kesana nanti.,bagus kren kapan sana,Positif
139,Hotel Horison Ultima Singkawang,wiih..bole coba klo nanti plg ptk..😏,boleh coba pulang pontianak,Positif
140,Hotel Horison Ultima Singkawang,Bisa pake bikini ga sih disini kak,bikini,Netral
141,Hotel Horison Ultima Singkawang,Ini kamar tipe apa kak?,kamar tipe,Netral
142,Hotel Horison Ultima Singkawang,Pengen siih... Kawan e tak adee😁,pengen kawan,Positif
143,Hotel Horison Ultima Singkawang,jauh,jauh,Negatif
144,Hotel Horison Ultima Singkawang,kak berapa harga untuk 3 orang,harga orang,Netral
145,Hotel Horison Ultima Singkawang,kalo ke sini nggk masuk² ke dalam malahan foto²😅😅,sini tidak masuk foto,Netral
146,Hotel Horison Ultima Singkawang,pantai gratis kak,pantai gratis,Positif
147,Hotel Horison Ultima Singkawang,kalu gak nginap masuk bayar gak,tidak nginap masuk bayar,Netral
148,Hotel Horison Ultima Singkawang,kok di online gak tersedia ya kamar nya,online tidak tersedia kamar,Negatif
149,Hotel Horison Ultima Singkawang,dulu pernah pergi pas dpt promo ga smpai 1jt. worth it sih utk pelayanan dan makanan jg enak,pernah pergi promo tidak sampai juta worth pelayanan makanan enak,Positif
150,Hotel Horison Ultima Singkawang,3 jam tak pake REM ke pergi nye😅,jam rem pergi,Netral
151,Hotel Horison Ultima Singkawang,Cantik bgt tempatnya😍,cantik tempat,Positif
152,Hotel Horison Ultima Singkawang,memang cakep bngt @horison_singkawang 🤩,cakep,Positif
153,Hotel Horison Ultima Singkawang,klw bukan hari libur brp ya per mlm??,bukan hari libur berapa per malam,Netral
154,Hotel Horison Ultima Singkawang,sangat bagus apa lagi sunset nya cm agak lumayan harga permalam nya 🙃,bagus sunset agak lumayan harga per malam,Positif
155,Hotel Horison Ultima Singkawang,masuk dari pantai gratis yah kak,masuk pantai gratis,Positif
156,Hotel Horison Ultima Singkawang,brp permlm kk,berapa per malam,Netral
157,Hotel Horison Ultima Singkawang,𝙃𝙖𝙡𝙤 𝙠𝙖𝙠 𝙪𝙣𝙩𝙪𝙠 𝙗𝙤𝙤𝙠𝙞𝙣𝙜 𝙨𝙞𝙡𝙖𝙝𝙠𝙖𝙣 𝙝𝙪𝙗 𝙬𝙖𝙩𝙨𝙖𝙥 𝙧𝙚𝙨𝙢𝙞 𝙠𝙞𝙩𝙖 (0822-1039-9302) 𝙟𝙜𝙣 𝙡𝙪𝙥𝙖 𝙙𝙞 𝙨𝙖𝙡𝙞𝙣 𝙡𝙞𝙣𝙠𝙣𝙮𝙖 𝙠𝙞𝙧𝙞𝙢 𝙠𝙚 𝙬𝙖𝙩𝙨𝙖𝙥 𝙠𝙞𝙩𝙖,halo booking wa resmi jangan lupa salin link kirim wa,Netral
