No,Hotel,Komentar Asli,Hasil Preprocessing,Label
1,Hotel Mahkota Singkawang,itu aku pernah ke hotel bintang lima dan lebih seru lagi aku enak karna ulang tahun,hotel bintang lima seru enak ulang tahun,Positif
2,Hotel Mahkota Singkawang,dabisa dicek ni,dicek,Netral
3,Hotel Mahkota Singkawang,iAmin👍👍👍🙏🙏🙏,amin,Positif
4,Hotel Mahkota Singkawang,kolam renangnya di lantai berapa iya ?,kolam renang lantai,Netral
5,Hotel Mahkota Singkawang,wow mantap banget keren 🌹🌹👍👍👍,mantap keren,Positif
6,Hotel Mahkota Singkawang,suami ada sih ngajak ksni tp aku blg baru habis lahiran😁 gmna mw prgi,suami ngajak sini bilang baru habis lahiran pergi,Netral
7,Hotel Mahkota Singkawang,mantap keren habis,mantap keren,Positif
8,Hotel Mahkota Singkawang,mantap banget nih boleh mampir gak cuyy😍,mantap boleh mampir,Positif
9,Hotel Mahkota Singkawang,sudahh min,betah bangett,betah,Positif
10,Hotel Mahkota Singkawang,hj asniahmasya allah keren🥰🥰🥰🥰,allah keren,Positif
11,Hotel Mahkota Singkawang,mantap,mantap,Positif
12,Hotel Mahkota Singkawang,salah satu objek liburan...mantap👍,objek liburan mantap,Positif
13,Hotel Mahkota Singkawang,murah tpi ngx ada harga yg di tampilkan.,murah tidak ada harga tampil,Negatif
14,Hotel Mahkota Singkawang,berapa penginapan 24 jam kk,berapa penginapan jam,Netral
15,Hotel Mahkota Singkawang,Insya Alloh🙏,insya allah,Netral
16,Hotel Mahkota Singkawang,in sya allah,insya allah,Netral
17,Hotel Mahkota Singkawang,Siapa yang disini tinggal di Singkawang 🗿👇,tinggal singkawang,Netral
18,Hotel Mahkota Singkawang,udh pernah bbrp x nginap disinialhamdulillah fiu nya bgus bgt,pernah beberapa nginap sini alhamdulillah bagus,Positif
19,Hotel Mahkota Singkawang,Luar biasa menyala singkawang 💜,luar biasa menyala singkawang,Positif
20,Hotel Mahkota Singkawang,[Sticker] aku udah pernah kesini sama abang😁 sama kakak tapi🥲 beli kamar nya yg tempat tidur nya dua pas masuk kamar alas tempat tidur nya kotor ada bekas makan es krim 😭,pernah sini abang kakak beli kamar tidur dua masuk kamar alas tidur kotor bekas makan es krim,Negatif
21,Hotel Mahkota Singkawang,harga rakyak rakyat yg pakai pajero???,harga rakyat pakai pajero,Netral
22,Hotel Mahkota Singkawang,vibe pas masgrib dari lantai 17🥰bersih free sarapan (menunya banyak pilihan)kalau nggak salah kolam nya terletak di lantai 5.tempat hotelnya strategis,vibe magrib lantai bersih sarapan menunya banyak pilihan kolam terletak lantai hotel strategis,Positif
23,Hotel Mahkota Singkawang,berapa harganya,berapa harga,Netral
24,Hotel Mahkota Singkawang,tahun baru lah kesana,tahun baru sana,Netral
25,Hotel Mahkota Singkawang,boleh,boleh,Netral
26,Hotel Mahkota Singkawang,mntap hotel ini pelayananny jg luar biasa mantap👍👍👍,mantap hotel pelayanan luar biasa mantap,Positif
27,Hotel Mahkota Singkawang,gagal fokus sm yg berenang.. itu pasangan *laki2-perempuan* atau *perempuan-perempuan* yaaa ?😳,gagal fokus berenang pasangan laki perempuan perempuan,Netral
28,Hotel Mahkota Singkawang,Keren banget,keren,Positif
29,Hotel Mahkota Singkawang,min aku pernah di situ sumpah bagus banget pelayanan nya juga bagus love banget sama hotel mahkota🥰🥰🥰,pernah situ bagus pelayanan bagus hotel mahkota,Positif
30,Hotel Mahkota Singkawang,gua klo kesingkawang nginap dsni trs🥰,singkawang nginap sini,Positif
31,Hotel Mahkota Singkawang,kira kira bisa buat bulan madu gak yaa soal nya kebetulan kakak aku beberapa minggu yang lalu nikah🤭,kira bisa bulan madu kebetulan kakak minggu lalu nikah,Netral
32,Hotel Mahkota Singkawang,iya aku sering ke hotel mahkota,sering hotel mahkota,Positif
33,Hotel Mahkota Singkawang,murah yg Abang maksud berapa bls juta tu,murah abang maksud berapa juta,Netral
34,Hotel Mahkota Singkawang,daftar tarif nya spill,daftar tarif spill,Netral
35,Hotel Mahkota Singkawang,joss,joss,Positif
36,Hotel Mahkota Singkawang,keren,keren,Positif
37,Hotel Mahkota Singkawang,bintang mahal?,bintang mahal,Netral
38,Hotel Mahkota Singkawang,Kak aku pernah kesitu,pernah situ,Positif
39,Hotel Mahkota Singkawang,kok ini gc ada warna hijau nya cuy. apa nama hotel nya cuy?,warna hijau nama hotel,Netral
40,Hotel Mahkota Singkawang,cek haga,cek harga,Netral
41,Hotel Mahkota Singkawang,brp an,berapa,Netral
42,Hotel Mahkota Singkawang,tanggung jawab aku pas berenang aku tenggelam,tanggung jawab berenang tenggelam,Negatif
43,Hotel Mahkota Singkawang,thebast la,thebest,Positif
44,Hotel Mahkota Singkawang,gw pernah di situ,pernah situ,Positif
45,Hotel Mahkota Singkawang,Mahkota hotel singkawang 😍👍👍,mahkota hotel singkawang,Positif
46,Hotel Mahkota Singkawang,brapa bajet kamarnya?,berapa bajet kamar,Netral
47,Hotel Mahkota Singkawang,apa nama jalan ya,nama jalan,Netral
