No,Hotel,No_Original,Sumber_File,Komentar_Asli,Hasil_Preprocessing,Label
1,Hotel Swiss-Belhotel Singkawang,1,2a.csv,"ini hotel terbagus di Singkawang.,,,, mudah - mudah tahun depan bisa ke Singkawang lagi",ini hotel terbagus singkawang mudah tahun depan bisa singkawang lagi,Positif
2,Hotel Swiss-Belhotel Singkawang,2,2a.csv,hotel skw yg buget 300-500 d mana ya guys yg dekat pantai atau pasir2 gtu,hotel singkawang budget 300 500 mana dekat pantai pasir,Netral
3,Hotel Swiss-Belhotel Singkawang,3,2a.csv,jangan lupa beli choipan ngai Mak c... add ngai FB akhian Choipan Singkawang 😁,jangan lupa beli choipan ngai mak add ngai fb akhian choipan singkawang,Netral
4,Hotel Swiss-Belhotel Singkawang,4,2a.csv,kok gk ngajak2😁,kok tidak ngajak,Netral
5,Hotel Swiss-Belhotel Singkawang,5,2a.csv,@bulan @Ricky0502_ @★EWAL★,bulan ricky ewal,Netral
6,Hotel Swiss-Belhotel Singkawang,6,2a.csv,mantap Singkawang gk mau kalah sama kota jakarta👍,bagus singkawang tidak mau kalah kota jakarta,Positif
7,Hotel Swiss-Belhotel Singkawang,7,2a.csv,keren cecan👏💯👍,keren cecan,Positif
8,Hotel Swiss-Belhotel Singkawang,8,2a.csv,Kalau mau rental mobil bisa info ce ya.. 0895377886140,kalau mau rental mobil bisa info,Netral
9,Hotel Swiss-Belhotel Singkawang,9,2a.csv,🥰,,Netral
10,Hotel Swiss-Belhotel Singkawang,10,2a.csv,😂😂😂,,Netral
11,Hotel Swiss-Belhotel Singkawang,11,2a.csv,Kambing Guling Gala Jasa hadir 🥰🥰🥰,kambing guling gala jasa hadir,Positif
12,Hotel Swiss-Belhotel Singkawang,12,2a.csv,"pernah kesana,crown bakery nya wuuuhh sedaap👍👍",pernah sana crown bakery sedap,Positif
13,Hotel Swiss-Belhotel Singkawang,13,2a.csv,👍terbaik bersih,terbaik bersih,Positif
14,Hotel Swiss-Belhotel Singkawang,14,2a.csv,"Dah lama tak pulang ke singkawang.setiap plg Singkawang ,suka makan bakso 61.",dah lama tak pulang singkawang setiap pulang singkawang suka makan bakso,Positif
15,Hotel Swiss-Belhotel Singkawang,15,2a.csv,hotel impiann🔥🔥🔥,hotel impian,Positif
16,Hotel Swiss-Belhotel Singkawang,16,2a.csv,👍👍👍♥️,,Netral
17,Hotel Swiss-Belhotel Singkawang,17,2a.csv,👍👍👍,,Netral
18,Hotel Swiss-Belhotel Singkawang,18,2a.csv,👍👍👍👍,,Netral
19,Hotel Swiss-Belhotel Singkawang,19,2a.csv,🙂,,Netral
